,sentiment,totalScores,positive,negative
2017-09-26 00:00:00,0.002906571428571429,700,0.71,0.29
2017-09-27 00:00:00,0.07900779054916986,783,0.79,0.21
2017-09-28 00:00:00,0.10447726495726496,585,0.82,0.18
2017-09-29 00:00:00,0.07123992467043315,531,0.78,0.22
2017-09-30 00:00:00,0.11107205882352941,68,0.87,0.13
2017-10-01 00:00:00,0.20219239130434782,92,0.91,0.09
2017-10-02 00:00:00,0.06664854368932038,412,0.79,0.21
2017-10-03 00:00:00,0.08648887283236993,692,0.82,0.18
2017-10-04 00:00:00,0.017932442067736185,561,0.8,0.2
2017-10-05 00:00:00,0.07969267912772586,642,0.81,0.19
2017-10-06 00:00:00,0.10133306559571621,747,0.82,0.18
2017-10-07 00:00:00,0.05788045112781955,133,0.83,0.17
2017-10-08 00:00:00,0.10110087719298246,114,0.89,0.11
2017-10-09 00:00:00,0.08100348837209302,516,0.82,0.18
2017-10-10 00:00:00,0.10299230769230769,572,0.81,0.19
2017-10-11 00:00:00,0.1552953216374269,513,0.9,0.1
2017-10-12 00:00:00,0.0897422256097561,656,0.83,0.17
2017-10-13 00:00:00,0.0826130612244898,490,0.87,0.13
2017-10-14 00:00:00,0.11320769230769231,117,0.9,0.1
2017-10-15 00:00:00,0.08644494382022472,89,0.85,0.15
2017-10-16 00:00:00,0.12601766561514197,317,0.88,0.12
2017-10-17 00:00:00,0.12941434599156118,474,0.83,0.17
2017-10-18 00:00:00,0.05864832826747721,658,0.81,0.19
2017-10-19 00:00:00,0.05308639344262295,610,0.79,0.21
2017-10-20 00:00:00,0.11680260303687635,461,0.84,0.16
2017-10-21 00:00:00,0.11488150684931507,146,0.92,0.08
2017-10-22 00:00:00,0.1239936,125,0.92,0.08
2017-10-23 00:00:00,-0.008505977584059776,803,0.74,0.26
2017-10-24 00:00:00,0.12564171539961014,513,0.85,0.15
2017-10-25 00:00:00,0.057603142329020335,541,0.8,0.2
2017-10-26 00:00:00,0.06763375314861461,2382,0.81,0.19
2017-10-27 00:00:00,0.10538587033121917,2838,0.81,0.19
2017-10-28 00:00:00,0.11376254295532646,291,0.86,0.14
2017-10-29 00:00:00,0.06741236559139785,186,0.85,0.15
2017-10-30 00:00:00,0.06535878962536024,694,0.78,0.22
2017-10-31 00:00:00,0.019648033126293995,483,0.8,0.2
2017-11-01 00:00:00,0.052619324577861164,533,0.82,0.18
2017-11-02 00:00:00,0.01921782531194296,561,0.79,0.21
2017-11-03 00:00:00,0.05520092165898618,434,0.8,0.2
2017-11-04 00:00:00,-0.04923805970149254,134,0.75,0.25
2017-11-05 00:00:00,0.11178431372549019,102,0.89,0.11
2017-11-06 00:00:00,0.07259180327868853,366,0.82,0.18
2017-11-07 00:00:00,0.01808643067846608,339,0.82,0.18
2017-11-08 00:00:00,0.09398300970873785,412,0.83,0.17
2017-11-09 00:00:00,0.07760018761726079,533,0.81,0.19
2017-11-10 00:00:00,-0.11833371868978805,519,0.57,0.43
2017-11-11 00:00:00,0.009848979591836735,98,0.86,0.14
2017-11-12 00:00:00,0.05824017857142857,112,0.84,0.16
2017-11-13 00:00:00,0.04653676975945017,582,0.8,0.2
2017-11-14 00:00:00,0.03767931873479319,411,0.78,0.22
2017-11-15 00:00:00,-0.010669609856262835,487,0.75,0.25
2017-11-16 00:00:00,0.08469752577319588,485,0.85,0.15
2017-11-17 00:00:00,0.07325876543209876,405,0.85,0.15
2017-11-18 00:00:00,0.023196341463414632,82,0.85,0.15
2017-11-19 00:00:00,0.10917808219178082,73,0.9,0.1
2017-11-20 00:00:00,0.0865509090909091,385,0.82,0.18
2017-11-21 00:00:00,0.09992479564032698,367,0.84,0.16
2017-11-22 00:00:00,0.13867868561278862,563,0.88,0.12
2017-11-23 00:00:00,0.04233714285714286,140,0.88,0.12
2017-11-24 00:00:00,0.08617181208053692,596,0.84,0.16
2017-11-25 00:00:00,0.07477666666666667,150,0.83,0.17
2017-11-26 00:00:00,-0.00420828025477707,157,0.77,0.23
2017-11-27 00:00:00,0.06842494505494505,910,0.82,0.18
