,sentiment,totalScores,positive,negative
2017-09-14 00:00:00,0.05755633423180593,371,0.8,0.2
2017-09-15 00:00:00,0.07058343195266271,338,0.8,0.2
2017-09-16 00:00:00,0.09940769230769231,78,0.91,0.09
2017-09-17 00:00:00,0.03445681818181818,88,0.88,0.12
2017-09-18 00:00:00,0.013305985037406484,401,0.75,0.25
2017-09-19 00:00:00,0.12719823529411764,340,0.86,0.14
2017-09-20 00:00:00,0.13073056603773583,265,0.85,0.15
2017-09-21 00:00:00,0.12435880503144654,318,0.84,0.16
2017-09-22 00:00:00,-0.04101272727272727,385,0.73,0.27
2017-09-23 00:00:00,-0.013012408759124088,137,0.8,0.2
2017-09-24 00:00:00,-0.05420394736842106,76,0.75,0.25
2017-09-25 00:00:00,-0.006299245283018868,1325,0.72,0.28
2017-09-26 00:00:00,0.052024233983286906,718,0.78,0.22
2017-09-27 00:00:00,0.13483386138613862,505,0.84,0.16
2017-09-28 00:00:00,0.17730706214689265,354,0.84,0.16
2017-09-29 00:00:00,0.10582182741116752,394,0.82,0.18
2017-09-30 00:00:00,0.07793896103896103,77,0.84,0.16
2017-10-01 00:00:00,0.061320454545454546,88,0.85,0.15
2017-10-02 00:00:00,0.06579908814589666,329,0.81,0.19
2017-10-03 00:00:00,0.028607766990291262,309,0.8,0.2
2017-10-04 00:00:00,0.0014354114713216958,401,0.78,0.22
2017-10-05 00:00:00,0.06946064073226545,437,0.83,0.17
2017-10-06 00:00:00,0.093825,300,0.83,0.17
2017-10-07 00:00:00,0.11548585858585858,99,0.9,0.1
2017-10-08 00:00:00,0.10102409638554216,83,0.94,0.06
2017-10-09 00:00:00,0.13833397849462364,465,0.83,0.17
2017-10-10 00:00:00,0.018387616099071205,323,0.77,0.23
2017-10-11 00:00:00,0.12226805251641137,457,0.85,0.15
2017-10-12 00:00:00,0.049283174603174607,315,0.81,0.19
2017-10-13 00:00:00,0.11672857142857143,301,0.85,0.15
2017-10-14 00:00:00,0.12328979591836735,98,0.91,0.09
2017-10-15 00:00:00,0.18000983606557378,61,0.92,0.08
2017-10-16 00:00:00,0.14613515358361776,293,0.91,0.09
2017-10-17 00:00:00,0.20401643286573146,499,0.87,0.13
2017-10-18 00:00:00,0.10846000000000001,315,0.85,0.15
2017-10-19 00:00:00,0.0723994623655914,372,0.8,0.2
2017-10-20 00:00:00,0.1448267441860465,258,0.86,0.14
2017-10-21 00:00:00,0.1588329411764706,85,0.89,0.11
2017-10-22 00:00:00,0.09887093023255815,86,0.91,0.09
2017-10-23 00:00:00,0.02916380510440835,431,0.78,0.22
2017-10-24 00:00:00,0.06086744186046512,344,0.81,0.19
2017-10-25 00:00:00,-0.025264841498559076,347,0.73,0.27
2017-10-26 00:00:00,0.056541504854368936,412,0.79,0.21
2017-10-27 00:00:00,0.18655270935960588,812,0.85,0.15
2017-10-28 00:00:00,0.1717807692307692,156,0.88,0.12
2017-10-29 00:00:00,0.15156050420168066,119,0.91,0.09
2017-10-30 00:00:00,0.16590432,625,0.86,0.14
2017-10-31 00:00:00,0.11207367624810892,661,0.86,0.14
2017-11-01 00:00:00,0.08701381153305203,3555,0.8,0.2
2017-11-02 00:00:00,0.11595453720508167,2204,0.79,0.21
2017-11-03 00:00:00,0.07070701001430615,699,0.78,0.22
2017-11-04 00:00:00,0.04085188679245283,106,0.8,0.2
2017-11-05 00:00:00,0.08578363636363635,165,0.82,0.18
2017-11-06 00:00:00,0.08373950892857143,448,0.82,0.18
2017-11-07 00:00:00,0.09580361990950226,442,0.83,0.17
2017-11-08 00:00:00,0.009624361948955917,431,0.75,0.25
2017-11-09 00:00:00,0.01910275590551181,508,0.76,0.24
2017-11-10 00:00:00,0.06601451104100947,317,0.78,0.22
2017-11-11 00:00:00,-0.021422549019607842,102,0.75,0.25
2017-11-12 00:00:00,-0.02446031746031746,63,0.76,0.24
2017-11-13 00:00:00,0.1108087786259542,262,0.8,0.2
2017-11-14 00:00:00,0.06442779369627506,349,0.78,0.22
2017-11-15 00:00:00,0.00926601671309192,359,0.76,0.24
2017-11-16 00:00:00,0.1806403041825095,263,0.89,0.11
2017-11-17 00:00:00,0.11592195121951218,287,0.83,0.17
2017-11-18 00:00:00,0.09880625,80,0.85,0.15
2017-11-19 00:00:00,0.132675,60,0.85,0.15
2017-11-20 00:00:00,0.05384516129032258,279,0.81,0.19
2017-11-21 00:00:00,0.1652366028708134,418,0.85,0.15
2017-11-22 00:00:00,0.11065467128027681,289,0.83,0.17
2017-11-23 00:00:00,-0.17709673913043478,92,0.64,0.36
2017-11-24 00:00:00,0.1949150183150183,273,0.87,0.13
2017-11-25 00:00:00,0.04701290322580645,62,0.77,0.23
2017-11-26 00:00:00,0.14030149253731344,67,0.91,0.09
2017-11-27 00:00:00,0.11154241245136187,257,0.85,0.15
2017-11-28 00:00:00,0.10162375478927203,261,0.82,0.18
2017-11-29 00:00:00,0.01274217961654894,991,0.72,0.28
2017-11-30 00:00:00,0.0195757071547421,601,0.72,0.28
2017-12-01 00:00:00,0.14174744376278117,489,0.81,0.19
2017-12-02 00:00:00,0.03883070866141732,127,0.79,0.21
2017-12-03 00:00:00,0.12425576923076923,104,0.87,0.13
2017-12-04 00:00:00,0.021451114413075782,673,0.77,0.23
2017-12-05 00:00:00,0.0819194489465154,617,0.76,0.24
2017-12-06 00:00:00,0.08435816513761468,545,0.79,0.21
2017-12-07 00:00:00,0.1503601724137931,580,0.85,0.15
2017-12-08 00:00:00,0.13380346420323325,433,0.84,0.16
2017-12-09 00:00:00,0.053635955056179775,89,0.87,0.13
2017-12-10 00:00:00,0.043940540540540536,74,0.89,0.11
2017-12-11 00:00:00,0.031076895306859205,277,0.79,0.21
2017-12-12 00:00:00,-0.0230825,320,0.74,0.26
2017-12-13 00:00:00,0.03898089887640449,267,0.78,0.22
2017-12-14 00:00:00,0.06024705882352942,306,0.8,0.2
2017-12-15 00:00:00,0.07013894736842105,380,0.83,0.17
2017-12-16 00:00:00,0.06582871287128712,101,0.86,0.14
2017-12-17 00:00:00,0.06717755102040816,98,0.82,0.18
2017-12-18 00:00:00,0.1308019379844961,258,0.85,0.15
2017-12-19 00:00:00,0.07101480144404332,277,0.82,0.18
2017-12-20 00:00:00,0.10299733840304183,263,0.81,0.19
2017-12-21 00:00:00,0.029718595041322314,242,0.81,0.19
2017-12-22 00:00:00,-0.0339372641509434,212,0.7,0.3
2017-12-23 00:00:00,0.0017492063492063493,63,0.78,0.22
2017-12-24 00:00:00,0.020421153846153846,52,0.87,0.13
2017-12-25 00:00:00,0.08859848484848486,66,0.94,0.06
2017-12-26 00:00:00,0.1352060773480663,181,0.84,0.16
2017-12-27 00:00:00,0.09097897435897435,195,0.82,0.18
2017-12-28 00:00:00,0.11631404494382024,178,0.82,0.18
2017-12-29 00:00:00,-0.011562025316455697,237,0.75,0.25
2017-12-30 00:00:00,0.008262903225806452,62,0.81,0.19
2017-12-31 00:00:00,0.062391111111111106,45,0.89,0.11
2018-01-01 00:00:00,-0.016472602739726026,73,0.79,0.21
2018-01-02 00:00:00,0.13008,335,0.84,0.16
2018-01-03 00:00:00,0.21129968944099378,322,0.86,0.14
2018-01-04 00:00:00,0.1239441935483871,310,0.85,0.15
2018-01-05 00:00:00,0.1630412429378531,354,0.88,0.12
2018-01-06 00:00:00,0.13790087719298247,114,0.87,0.13
2018-01-07 00:00:00,0.06750267857142857,112,0.87,0.13
2018-01-08 00:00:00,0.07381386666666666,375,0.81,0.19
2018-01-09 00:00:00,0.07032151898734178,237,0.81,0.19
2018-01-10 00:00:00,0.050941860465116284,258,0.79,0.21
2018-01-11 00:00:00,0.04381614349775785,223,0.81,0.19
2018-01-12 00:00:00,0.06932173734046933,2429,0.76,0.24
2018-01-13 00:00:00,0.07581496062992127,254,0.81,0.19
2018-01-14 00:00:00,0.11858312499999998,160,0.86,0.14
2018-01-15 00:00:00,0.13092571428571428,175,0.9,0.1
2018-01-16 00:00:00,0.09222136953955136,847,0.76,0.24
2018-01-17 00:00:00,0.09015734265734267,858,0.78,0.22
2018-01-18 00:00:00,0.18468629518072288,664,0.86,0.14
2018-01-19 00:00:00,0.12305341130604287,513,0.84,0.16
2018-01-20 00:00:00,0.02777936507936508,126,0.84,0.16
2018-01-21 00:00:00,-0.004483076923076923,130,0.83,0.17
2018-01-22 00:00:00,0.12815720858895704,652,0.84,0.16
2018-01-23 00:00:00,0.14111393548387097,775,0.84,0.16
2018-01-24 00:00:00,0.09720783645655877,587,0.8,0.2
2018-01-25 00:00:00,0.0747148288973384,526,0.79,0.21
2018-01-26 00:00:00,0.04803286467486819,569,0.8,0.2
2018-01-27 00:00:00,-0.04722149122807018,228,0.79,0.21
2018-01-28 00:00:00,-0.02127433628318584,226,0.77,0.23
2018-01-29 00:00:00,0.02917325581395349,86,0.81,0.19
2018-01-30 00:00:00,0.06234466769706337,647,0.78,0.22
2018-01-31 00:00:00,0.0748391930835735,4164,0.79,0.21
2018-02-01 00:00:00,0.09108519083969466,1965,0.78,0.22
2018-02-02 00:00:00,-0.007958126721763084,726,0.72,0.28
2018-02-03 00:00:00,-0.0106,152,0.8,0.2
2018-02-04 00:00:00,0.02075,148,0.84,0.16
2018-02-05 00:00:00,-0.006630608695652174,575,0.75,0.25
2018-02-06 00:00:00,0.05377380952380952,588,0.78,0.22
2018-02-07 00:00:00,-0.002328148148148148,675,0.73,0.27
2018-02-08 00:00:00,0.05024203980099502,804,0.78,0.22
2018-02-09 00:00:00,0.06881016713091923,718,0.75,0.25
2018-02-10 00:00:00,0.04988083333333333,120,0.83,0.17
2018-02-11 00:00:00,0.040703539823008845,113,0.86,0.14
2018-02-12 00:00:00,0.04444328097731239,573,0.77,0.23
2018-02-13 00:00:00,-0.010921393841166936,617,0.75,0.25
2018-02-14 00:00:00,0.10369286846275752,631,0.8,0.2
2018-02-15 00:00:00,0.0837378136200717,558,0.8,0.2
2018-02-16 00:00:00,-0.008537310195227766,461,0.73,0.27
2018-02-17 00:00:00,-0.002592086330935252,139,0.81,0.19
2018-02-18 00:00:00,0.011858035714285715,112,0.8,0.2
2018-02-19 00:00:00,0.06388842975206611,121,0.88,0.12
2018-02-20 00:00:00,0.01950826873385013,387,0.76,0.24
2018-02-21 00:00:00,0.06966109154929578,568,0.78,0.22
2018-02-22 00:00:00,0.052146823529411766,425,0.78,0.22
2018-02-23 00:00:00,0.1272502024291498,494,0.8,0.2
2018-02-24 00:00:00,0.04833119266055046,109,0.82,0.18
2018-02-25 00:00:00,0.020184615384615384,91,0.85,0.15
2018-02-26 00:00:00,0.050256474820143886,278,0.78,0.22
2018-02-27 00:00:00,0.00755607476635514,321,0.76,0.24
2018-02-28 00:00:00,-0.029100808625336927,371,0.73,0.27
2018-03-01 00:00:00,-0.038626004228329805,473,0.7,0.3
2018-03-02 00:00:00,0.01984629258517034,499,0.72,0.28
2018-03-03 00:00:00,-0.08290107526881721,93,0.76,0.24
2018-03-04 00:00:00,0.1124679012345679,81,0.85,0.15
2018-03-05 00:00:00,0.09638369304556355,417,0.81,0.19
2018-03-06 00:00:00,-0.012959025270758122,554,0.73,0.27
2018-03-07 00:00:00,0.07825668789808918,628,0.79,0.21
2018-03-08 00:00:00,0.08736642512077294,414,0.79,0.21
2018-03-09 00:00:00,0.058449633251833735,409,0.8,0.2
2018-03-10 00:00:00,0.11988571428571428,84,0.86,0.14
2018-03-11 00:00:00,0.008131000000000001,100,0.79,0.21
2018-03-12 00:00:00,0.08291818181818181,418,0.82,0.18
2018-03-13 00:00:00,-0.07432805194805195,385,0.68,0.32
2018-03-14 00:00:00,-0.03154820936639118,363,0.72,0.28
2018-03-15 00:00:00,0.02697918781725888,394,0.77,0.23
2018-03-16 00:00:00,7.857142857142858e-06,280,0.77,0.23
2018-03-17 00:00:00,-0.012775806451612904,124,0.83,0.17
2018-03-18 00:00:00,-0.05756818181818182,176,0.76,0.24
2018-03-19 00:00:00,-0.041718570231778836,3581,0.7,0.3
2018-03-20 00:00:00,-0.038403699551569505,6244,0.7,0.3
2018-03-21 00:00:00,-0.03182888410477216,5574,0.71,0.29
2018-03-22 00:00:00,-0.05485683836589698,4504,0.71,0.29
2018-03-23 00:00:00,-0.057608175734652316,3437,0.71,0.29
2018-03-24 00:00:00,-0.06752557915057916,1036,0.74,0.26
2018-03-25 00:00:00,-0.04839202200825309,727,0.73,0.27
2018-03-26 00:00:00,-0.002174872048869077,6057,0.71,0.29
2018-03-27 00:00:00,-0.06101570904645477,4908,0.68,0.32
2018-03-28 00:00:00,-0.011346012621916236,3486,0.73,0.27
2018-03-29 00:00:00,0.054860959438377536,2564,0.74,0.26
2018-03-30 00:00:00,-0.06522342105263158,380,0.75,0.25
2018-03-31 00:00:00,-0.035198031496062994,254,0.78,0.22
2018-04-01 00:00:00,-0.0066146464646464655,198,0.82,0.18
2018-04-02 00:00:00,-0.039672543352601154,1384,0.71,0.29
2018-04-03 00:00:00,-0.014384723067559342,1643,0.72,0.28
2018-04-04 00:00:00,0.011348557457212713,2045,0.74,0.26
2018-04-05 00:00:00,-0.024782595325953262,1626,0.73,0.27
2018-04-06 00:00:00,-0.038043878273177636,1413,0.72,0.28
2018-04-07 00:00:00,-0.023268669527896996,233,0.8,0.2
2018-04-08 00:00:00,-0.025098200514138816,389,0.77,0.23
2018-04-09 00:00:00,-0.021213171036204743,1602,0.76,0.24
2018-04-10 00:00:00,0.0002679698708751793,5576,0.82,0.18
2018-04-11 00:00:00,0.007194095544820182,3726,0.8,0.2
2018-04-12 00:00:00,0.00665703125,1920,0.75,0.25
2018-04-13 00:00:00,-0.0004603809523809524,1050,0.72,0.28
2018-04-14 00:00:00,0.016442613636363637,176,0.82,0.18
2018-04-15 00:00:00,-0.014776984126984128,252,0.79,0.21
