Date,Open,High,Low,Close,Volume,Volatility,sentiment,RSI
2019-03-05,351.25,356.17,348.25,354.18,5570180,0.020740988657042728,0.006246408839779006,57.50567609715679
2019-03-06,353.6,359.88,351.7,359.5,5851831,0.04387694595148888,-0.017791094147582696,60.75699596274022
2019-03-07,360.16,362.86,350.5,352.62,5733334,0.05493779096851525,-0.038160681818181816,54.906240204552795
2019-03-08,345.75,349.92,342.47,349.58,6355135,0.03093258097997948,-0.056311263736263724,52.50049884457522
2019-03-11,352.0,358.98,350.04,358.86,4648908,0.0405291664177112,0.05773861111111112,58.48094717340375
2019-03-12,358.78,360.13,353.8,356.28,4415584,0.014028807749483202,0.0047671698113207536,56.356503846193576
2019-03-13,355.81,362.48,352.765,361.18,6065574,0.04139413342830639,0.058588698630136986,59.37496478441015
2019-03-14,360.5,363.84,358.1008,358.68,4799192,0.011100233563303127,-0.07526243093922652,57.20126157814469
2019-03-15,361.02,364.0,358.89,361.78,7694969,0.007432126120741092,0.10363969465648856,59.19608773648346
2019-03-18,362.47,370.9705,361.86,363.44,6544056,0.008066986783181908,-0.0047824925816023715,60.264128688183135
2019-03-19,366.4,366.96,356.8,359.06,6678733,0.06229923957517066,0.0948833810888252,56.0921785106502
2019-03-20,358.67,375.9,357.01,375.22,10287618,0.2163741783891902,0.0693765060240964,65.56419423484711
2019-03-21,373.82,379.0,370.61,377.92,7759687,0.04043157545534861,0.08703571428571429,66.85090030370844
2019-03-22,375.53,376.43,360.04,361.02,8083699,0.14906310056737726,-0.02764532577903683,53.40082563364913
2019-03-25,359.0,367.0399,357.44,366.26,7956675,0.07341094993684774,0.01814118942731277,56.33433056985664
2019-03-26,367.87,368.38,358.02,360.1,6400989,0.06320634883723776,-0.03014874651810585,52.17604894858113
2019-03-27,361.0,362.47,350.37,353.28,7186983,0.07051094284795034,-0.02482960288808664,47.955512605480315
2019-03-28,354.485,355.94,349.2,354.61,4170523,0.000662511067412577,0.08313968871595331,48.82488772940199
2019-03-29,357.16,358.25,353.71,356.56,4021938,0.0030667560159114505,0.10809516129032258,50.139969233793416
2019-04-01,359.0,367.8,358.51,366.96,4050642,0.04097599736973923,0.06363558052434456,56.55266220965235
2019-04-02,366.25,368.42,362.22,367.72,4582529,0.008560815961895509,0.09950162601626016,56.988015987393325
2019-04-03,369.26,373.4105,366.19,369.58,5030212,0.0020456384177391174,0.09747991631799163,58.094721103476346
2019-04-04,370.07,372.05,362.4,367.84,4417823,0.012520041803782944,0.015379607843137256,56.62685687902464
2019-04-05,369.0,369.8,364.66,365.61,3589148,0.015462640870801066,0.015618045112781953,54.71865242126588
2019-04-08,365.11,365.94,359.93,361.34,4175971,0.020007435628953702,0.07158798283261802,51.163406878233
2019-04-09,360.54,366.74,359.0,364.73,5040285,0.02683871515353442,0.12478854166666667,53.73354766342741
