Open,High,Low,Close,Volume,Volatility,sentiment,RSI
128.99,137.51,128.56,135.41,25465924,0.28652203330123965,-0.025997044917257683,
134.69,137.17,131.12,131.8902,18011900,0.08818123984273209,-0.057317028380634384,
134.01,138.0,133.75,137.94,23927539,0.16467722189986514,0.08320585585585585,
137.45,138.87,135.91,138.23,16261533,0.02196492863285489,-0.016295092024539878,
139.89,143.14,139.54,142.5843,22239823,0.10483111327918752,0.039262473347547976,
142.95,144.7,141.27,144.25,18404347,0.04168586421857418,0.05413505434782609,
143.08,144.56,140.84,144.15,13885316,0.02577747737789235,0.03950769230769231,
143.15,145.36,142.57,143.7205,10819759,0.01054228829259006,0.039241694915254234,
142.08,146.57,141.27,145.63,17231093,0.10702329709488287,0.09488318042813457,
146.01,150.68,145.99,148.82,21340466,0.10491172976927672,0.047534460887949256,
149.0,149.6499,146.9975,147.43,15596801,0.04267058424448883,0.08788368055555558,
146.95,149.0,146.5,148.0684,13965026,0.027112824860441014,0.08229802631578947,
149.75,152.43,148.55,149.99,28961698,0.01190734974730027,0.007642584745762713,
149.2,151.53,146.37,147.245,18121895,0.06186466208588861,0.036991666666666666,
148.28,148.8,143.055,144.07,18612594,0.13717686994747322,-0.004344941176470588,63.79921347670066
144.64,146.44,142.52,145.74,19111339,0.036592896284351806,-0.01648085106382979,65.76158504323423
147.48,149.83,146.54,149.0944,17851615,0.05027127089210115,0.06305685714285715,69.35498927923628
148.05,148.96,146.21,147.37,12571121,0.014709897371088588,-0.013301700680272107,65.54652451864548
148.09,148.1,143.43,144.115,16035997,0.11153652985687687,0.05218640350877194,58.9644861060573
146.22,150.95,145.6953,150.3,27203498,0.1944210017427149,0.11795218087234892,65.95938625862847
165.53,171.68,165.0,166.8,70441723,0.15665275480066526,0.09728457807953443,77.14970363246564
165.84,169.1,165.66,165.83,27891288,0.00020302327432131334,0.061518160651920825,75.5767862348491
165.7,169.28,163.62,168.935,17419943,0.09857320034533547,0.11304809523809525,77.18058789654437
169.15,171.98,168.69,170.9434,17737618,0.05551829676389298,0.0867734693877551,78.17874931352618
171.2,172.47,169.27,170.48,11931265,0.014783837393383615,0.06274649859943977,77.33816613084832
168.27,169.24,165.25,165.97,15099844,0.06063901533446505,0.026379372197309417,69.50539089543612
164.47,167.25,164.21,167.2,10893793,0.05188591740824463,0.11046363636363636,70.3862933452093
168.0,168.3,165.08,165.59,9543009,0.04005965392594569,0.05260714285714286,67.63229107090706
166.86,168.34,164.5,164.94,14374841,0.04813114075915851,0.16266842105263155,66.50099441614746
165.38,166.22,163.73,164.08,12848891,0.029016339816529794,-0.06255902777777778,64.95292338512022
163.19,164.8697,162.2468,163.97,10479806,0.014053599880098534,-0.007540241448692153,64.74531256055819
164.51,164.7,160.86,162.4101,14725469,0.05395939380014626,-0.06641733333333334,61.73195889921544
160.5,164.15,160.33,162.1166,12160154,0.034199422061089134,0.008905215419501135,61.15523040188493
162.25,163.72,161.25,162.62,10525664,0.006545743560636809,0.039135416666666666,61.81418158932873
162.01,162.24,159.59,160.09,13276948,0.044433212405714455,-0.016052653927813163,56.61599534875642
160.58,162.41,160.31,161.84,11588766,0.02532936061940229,0.03788280802292263,59.17345367397617
163.07,166.07,162.9,164.63,15768987,0.04286818935808215,0.12755913312693498,62.92578931941907
164.335,166.24,163.8,164.05,12423077,0.005924873381646025,0.03129402390438247,61.65711339529161
162.9,163.8025,160.41,162.81,10796534,0.0014183402594677595,-0.048272388059701486,58.921984685356556
162.37,163.5,160.86,161.5,9056941,0.013536597985132416,-0.01938740740740741,56.09109595627103
162.6,163.132,161.69,162.28,9311399,0.004940850161847718,0.08804729729729731,57.403382093782604
163.9,167.5,163.83,167.47,17156727,0.10716212193167307,-0.016978273381294963,64.91672926979535
167.31,171.88,166.55,171.25,24266138,0.16743731732080191,0.13326986089644513,69.18049317756909
172.9,173.57,171.27,172.51,18843395,0.012605754936955562,0.059625,70.46885199210799
171.5,171.74,167.61,169.14,15649857,0.06450547103777103,0.029503744493392083,62.895708260135784
166.2,169.62,165.97,169.6,11357699,0.06745706052625558,0.03482770083102493,63.47275178618731
171.6,174.3,171.58,171.98,15351838,0.009947635140917928,0.13566023529411764,66.38557373680433
172.09,173.8,171.2178,171.94,10609535,0.0025055374219275467,0.03187955974842768,66.28989574823926
172.63,174.03,172.12,173.37,9607015,0.012185197829187392,-0.02325971978984238,68.0620676628323
169.76,171.15,168.16,170.26,14802757,0.012697774376842469,-0.07160371713508612,60.600486007154494
164.48,166.71,164.27,166.01,17501846,0.04668935558465223,-0.027484313725490195,52.181570885096484
163.57,163.9,159.28,160.47,32864620,0.17843966018486612,-0.028663330950679057,43.665750858749604
161.48,163.82,160.82,161.63,21550291,0.005384498803844654,0.02410907944514502,45.66524415839915
161.27,166.12,161.24,165.47,17364616,0.12765531747166112,0.04501954225352113,51.7681825850127
164.89,166.39,163.75,166.08,13707604,0.028329525092873026,0.003618629173989457,52.677493290104984
165.65,167.42,164.09,164.34,14302290,0.032581797802188985,-0.05035431472081218,49.7937436525557
163.14,166.54,162.0,166.27,11009299,0.060164422434599685,0.07842804428044281,52.87532452014504
167.35,169.45,166.3499,167.68,13876298,0.007746864054204509,0.038825,55.04617001991177
167.73,168.94,164.79,165.84,9279826,0.030481706809560062,-0.00572239263803681,51.699229405343274
164.57,166.72,163.33,165.51,9376259,0.015175343226947384,-0.01886105675146771,51.09914091312058
166.39,167.19,164.81,166.66,8777694,0.003871321846862715,-0.0405274678111588,53.140401164288356
