Open,High,Low,Close,Volume,Volatility,sentiment,RSI
1027.2,1060.79,1025.275,1053.24,1346501,0.27922630767053425,0.0018633986928104575,
1050.67,1066.26,1022.37,1026.505,1546910,0.2977272535282877,0.02387302631578948,
1041.63,1080.0,1036.86,1076.55,1792417,0.4989231286890058,0.0599646017699115,
1080.97,1082.7,1062.64,1076.01,1872050,0.07350217803528973,0.09905037037037036,
1084.77,1093.35,1068.3486,1085.51,1402631,0.007681507609569216,0.1867892857142857,
1087.99,1091.64,1074.37,1083.22,1154151,0.04333437279857786,0.11970344827586207,
1074.94,1079.085,1064.68,1078.45,1092023,0.02998815510523476,-0.05208571428571429,
1069.9,1073.37,1056.43,1062.93,1272704,0.07019318727411411,0.061396428571428574,
1053.34,1058.45,1048.55,1052.845,1137744,0.003892533799739547,-0.012321794871794871,
1058.01,1088.27,1054.44,1086.06,1536965,0.3434632856849553,0.07738785046728971,
1090.0,1102.36,1088.1,1088.21,1639887,0.02282460291039376,0.06787912087912087,
1087.99,1100.7,1083.255,1098.15,1010311,0.08131846651912603,0.05269139784946236,
1108.59,1118.0,1099.2834,1105.4,1894558,0.0476307319881976,0.14301506849315068,
1097.5,1098.97,1070.89,1074.54,1299223,0.2374651888510153,-0.021246666666666667,
1086.86,1092.95,1067.57,1082.815,1063226,0.033721142142927554,0.11174634146341464,57.00248608973602
1082.51,1088.0,1070.02,1084.285,1099283,0.01497017721792864,0.07817710843373492,57.32241928806826
1094.23,1103.21,1091.8011,1099.37,882516,0.035599677428267716,0.09612826086956522,60.565135742696306
1090.07,1093.365,1074.61,1080.0529,1060160,0.0841513879633778,-0.035082352941176474,54.820847489880855
1081.04,1084.73,1066.02,1070.01,846453,0.07390926524071302,-0.05723815789473685,52.05651357459129
1078.57,1099.52,1076.64,1098.32,1086527,0.1706562550346619,0.08776161616161615,58.421264955621496
1112.24,1127.67,1105.25,1124.72,1624482,0.16119608102915628,0.1232782894736842,63.31250156946054
1122.29,1134.4,1114.25,1119.685,1300373,0.02643249551915295,0.06926301369863014,61.81885250740159
1120.1,1142.34,1117.51,1140.21,2511344,0.4024511387319971,0.05819990950226245,65.40210302596627
1129.63,1152.5,1123.6,1151.345,3714644,0.6431537216087185,0.09751607142857144,67.20050626157789
1148.0,1154.0,1118.36,1123.24,1961777,0.3870520324508264,0.04274893617021276,58.88111665297481
1111.61,1111.99,1093.59,1103.91,1627994,0.09944112389579504,-0.04582117647058823,53.935436104802136
1094.88,1105.095,1094.24,1101.16,890681,0.044038087375499566,0.057086507936507935,53.2501742151965
1103.75,1113.43,1100.0,1102.22,736358,0.008389247600946233,-0.021713541666666662,53.495439332639826
1111.01,1132.86,1111.01,1127.395,1434412,0.18696838435599789,0.0322,58.99737767364456
