Date,Open,High,Low,Close,Volume,Volatility,sentiment,RSI
2019-01-02,154.89,158.85,154.23,157.5225,27803621,0.2142654466933621,-0.048623982683982686,
2019-01-03,143.98,145.72,142.0,142.29,82418448,0.4077495943751137,-0.0374836291913215,
2019-01-04,144.53,148.5499,143.8,148.12,51267225,0.5387864436933529,0.005248649738008868,
2019-01-07,148.7,148.83,145.9,147.91,49982480,0.115591870911132,0.012710791871058164,
2019-01-08,149.56,151.82,148.52,150.63,36592406,0.11461913970167376,0.019822542595019657,
2019-01-09,151.29,154.53,149.63,153.37,40827842,0.2486005935834821,-0.0006810148232611172,
2019-01-10,152.5,153.97,150.86,153.55,32553301,0.10006143659749688,-0.01227733208955224,
2019-01-11,152.88,153.7,151.51,152.0534,22850904,0.05529440480307282,0.0437878892733564,
2019-01-14,150.85,151.27,149.22,149.76,26038136,0.08308426645490521,-0.02077142857142857,
2019-01-15,150.27,153.39,150.05,152.95,25862287,0.20290096931466944,0.0326896725440806,
2019-01-16,153.08,155.88,153.0,154.91,27032885,0.14481911445299878,0.06889874125874126,
2019-01-17,154.2,157.66,153.26,155.53,26717099,0.1040215549783893,0.01960190023752969,
2019-01-18,157.5,157.88,155.9806,156.57,30450605,0.0829012874506953,0.06454110787172011,
2019-01-22,156.41,156.73,152.62,152.93,24086204,0.2453748262911601,0.014661211129296237,
2019-01-23,154.15,155.14,151.7,153.6799,20246607,0.027862809462676927,0.019969565217391304,45.41482110809882
2019-01-24,154.11,154.48,151.74,152.63,20669415,0.08955138383586393,0.02362109038737446,44.221580616549204
2019-01-25,155.48,158.13,154.32,157.5,29575048,0.17488768479222716,0.0710814479638009,50.69306740787168
2019-01-28,155.79,156.28,153.66,156.0878,22270959,0.019415385260853128,0.035008066429418734,48.92058695590757
2019-01-29,156.25,158.13,154.11,154.5,30723484,0.15739499282116715,0.020099965403909358,46.93357362544216
2019-01-30,163.25,166.15,160.23,165.49,49026033,0.3214823782182135,0.012408294266137758,59.26609214724985
2019-01-31,166.11,169.0,164.56,166.6249,31699885,0.047781852070575816,0.04992782426778243,60.292336669869925
2019-02-01,166.96,168.98,165.93,166.62,25342728,0.02522404196744657,0.08608365527488858,60.28527464590918
2019-02-04,167.41,171.655,167.28,170.99,26912592,0.2820466559848612,0.1290037484885127,64.30124237003957
2019-02-05,172.86,175.08,172.3501,174.01,31860037,0.10725721525093357,0.12928772727272728,66.79980090151923
2019-02-06,174.65,175.57,172.8531,174.1699,25696142,0.03611453525270668,0.09403307984790872,66.931770402333
2019-02-07,172.4,173.94,170.34,170.64,28233078,0.1454632533967999,0.08544012345679013,61.15283180012333
2019-02-08,168.99,170.66,168.42,170.04,20428524,0.0627926322742627,0.0839354074074074,60.201360688900806
2019-02-11,171.05,171.21,169.25,169.43,17954651,0.08514798661519997,0.09235688259109312,59.19300742640821
2019-02-12,170.1,171.0,169.7,170.7384,18989903,0.035489348401764466,0.20365833333333336,60.71303094945936
2019-02-13,171.39,172.48,169.92,169.98,19353125,0.07988267789502039,-0.0018283154121863801,59.333417076852676
2019-02-14,169.71,171.2615,169.38,170.98,18263570,0.06790031598684447,0.01531041388518024,60.60459847365709
2019-02-15,171.25,171.7,169.75,170.25,22555013,0.0660275955908857,0.027839661016949152,59.15101625762437
2019-02-19,169.71,171.44,169.49,170.8499,16672024,0.05563364069695646,0.05416066666666666,60.00006762355916
2019-02-20,171.19,173.32,170.99,172.09,22461151,0.0591775413856088,0.1280660621761658,61.7690765555985
2019-02-21,171.8,172.37,170.3,171.14,15647117,0.030231567539772457,0.052177713178294574,59.594723036879635
2019-02-22,171.58,173.0,171.38,172.97,15245361,0.06203473248876516,0.04756040609137056,62.34451276954487
2019-02-25,174.16,175.87,173.95,174.26,19540227,0.0057202104299830464,0.041178825995807126,64.19436113030437
2019-02-26,173.71,175.3,173.1732,174.35,14716104,0.02757117172553404,0.03201233333333333,64.32603413095387
2019-02-27,173.26,175.0,172.73,174.88,22408692,0.10627079337159707,0.07986322115384616,65.13905648416836
2019-02-28,174.32,174.91,172.92,173.2,19815729,0.06496964260852618,0.07803881856540085,60.43715825288627
2019-03-01,174.28,175.15,172.89,174.97,20830861,0.04207641332254538,0.08451503759398497,63.43204945611377
2019-03-04,175.69,177.75,173.97,175.86,24195978,0.012041331235442864,-0.00828210070476352,64.8720026846747
2019-03-05,175.94,176.0,174.54,175.51,15413946,0.019402812623851715,0.0932330808080808,63.80789662880395
2019-03-06,174.67,175.49,173.94,174.51,17535168,0.008213198414541123,0.018882901554404145,60.74216243873829
2019-03-07,174.02,174.44,172.02,172.47,20110131,0.09124918594677832,0.018253907815631264,54.94273409675993
2019-03-08,170.32,173.07,169.5,172.92,19475688,0.14823424898524698,0.02649448979591837,55.942012773318964
2019-03-11,175.49,179.12,175.35,178.98,26225966,0.2679410911813173,0.12726795154185022,66.66408930789125
2019-03-12,180.0,182.67,179.37,180.94,27277399,0.0750608038109591,0.057741050583657576,69.26903447592987
