,sentiment,totalScores,positive,negative
2017-09-27 00:00:00,0.11220238095238096,168,0.86,0.14
2017-09-28 00:00:00,0.13019819277108433,166,0.8,0.2
2017-09-29 00:00:00,0.0927837037037037,135,0.84,0.16
2017-09-30 00:00:00,0.13218611111111112,36,0.92,0.08
2017-10-01 00:00:00,0.0927764705882353,51,0.86,0.14
2017-10-02 00:00:00,-0.028589230769230773,195,0.69,0.31
2017-10-03 00:00:00,0.10683407407407407,135,0.82,0.18
2017-10-04 00:00:00,0.11308386167146973,347,0.81,0.19
2017-10-05 00:00:00,0.11407326530612244,980,0.78,0.22
2017-10-06 00:00:00,0.11984272445820433,969,0.8,0.2
2017-10-07 00:00:00,0.03858089887640449,89,0.83,0.17
2017-10-08 00:00:00,0.0702,83,0.87,0.13
2017-10-09 00:00:00,0.07708091787439614,414,0.81,0.19
2017-10-10 00:00:00,0.06615649038461538,416,0.78,0.22
2017-10-11 00:00:00,0.1097,332,0.81,0.19
2017-10-12 00:00:00,0.15574452554744525,411,0.83,0.17
2017-10-13 00:00:00,0.08012321428571428,560,0.79,0.21
2017-10-14 00:00:00,0.05508854961832061,131,0.85,0.15
2017-10-15 00:00:00,0.05277959183673469,98,0.83,0.17
2017-10-16 00:00:00,0.05155981426762347,2369,0.78,0.22
2017-10-17 00:00:00,0.002484232365145228,2169,0.72,0.28
2017-10-18 00:00:00,-0.02730535947712418,765,0.69,0.31
2017-10-19 00:00:00,0.06922518518518518,540,0.76,0.24
2017-10-20 00:00:00,0.1765717201166181,343,0.84,0.16
2017-10-21 00:00:00,-0.030841304347826087,46,0.8,0.2
2017-10-22 00:00:00,0.2722764705882353,51,0.92,0.08
2017-10-23 00:00:00,0.026211258278145695,302,0.75,0.25
2017-10-24 00:00:00,0.11757115902964958,371,0.79,0.21
2017-10-25 00:00:00,0.053422754491017965,167,0.77,0.23
2017-10-26 00:00:00,0.051994764397905756,191,0.78,0.22
2017-10-27 00:00:00,0.08516558704453442,247,0.79,0.21
2017-10-28 00:00:00,0.07391190476190476,42,0.86,0.14
2017-10-29 00:00:00,0.00011142857142857142,35,0.77,0.23
2017-10-30 00:00:00,0.08096428571428571,182,0.86,0.14
2017-10-31 00:00:00,0.015744444444444446,234,0.77,0.23
2017-11-01 00:00:00,0.09150994764397906,191,0.84,0.16
2017-11-02 00:00:00,0.11755495495495497,222,0.82,0.18
2017-11-03 00:00:00,0.004293969849246231,199,0.75,0.25
2017-11-04 00:00:00,-0.03883703703703704,54,0.8,0.2
2017-11-05 00:00:00,0.05823076923076923,39,0.87,0.13
2017-11-06 00:00:00,0.0959783870967742,310,0.82,0.18
2017-11-07 00:00:00,0.0313159169550173,289,0.77,0.23
2017-11-08 00:00:00,0.05819789029535865,237,0.8,0.2
2017-11-09 00:00:00,-0.004845205479452055,292,0.7,0.3
2017-11-10 00:00:00,0.02794070796460177,339,0.74,0.26
2017-11-11 00:00:00,-0.026694117647058823,51,0.78,0.22
2017-11-12 00:00:00,0.2133139534883721,43,0.91,0.09
2017-11-13 00:00:00,0.16310129310344829,232,0.83,0.17
2017-11-14 00:00:00,0.12254035087719298,171,0.84,0.16
2017-11-15 00:00:00,-0.03512880658436214,243,0.71,0.29
2017-11-16 00:00:00,0.03035171102661597,263,0.77,0.23
2017-11-17 00:00:00,-0.01783131868131868,182,0.74,0.26
2017-11-18 00:00:00,0.11130652173913043,46,0.87,0.13
2017-11-19 00:00:00,0.13907999999999998,30,0.93,0.07
2017-11-20 00:00:00,0.08776794258373205,209,0.82,0.18
2017-11-21 00:00:00,0.1614325471698113,212,0.83,0.17
2017-11-22 00:00:00,0.09197899543378996,219,0.82,0.18
2017-11-23 00:00:00,0.1045403846153846,52,0.88,0.12
2017-11-24 00:00:00,0.12387613636363635,88,0.9,0.1
2017-11-25 00:00:00,0.22533548387096775,31,0.97,0.03
2017-11-26 00:00:00,0.09586285714285714,35,0.86,0.14
2017-11-27 00:00:00,0.12563553719008264,121,0.88,0.12
2017-11-28 00:00:00,0.13184465408805032,318,0.86,0.14
2017-11-29 00:00:00,0.0073883548983364146,541,0.73,0.27
2017-11-30 00:00:00,0.08455180327868853,305,0.8,0.2
2017-12-01 00:00:00,0.015413973799126637,229,0.77,0.23
2017-12-02 00:00:00,-0.005871794871794872,78,0.81,0.19
2017-12-03 00:00:00,0.07148085106382979,47,0.85,0.15
2017-12-04 00:00:00,0.05003859649122807,342,0.77,0.23
2017-12-05 00:00:00,-0.040161965811965815,234,0.7,0.3
2017-12-06 00:00:00,0.06348461538461539,182,0.8,0.2
2017-12-07 00:00:00,0.08653757225433525,173,0.8,0.2
2017-12-08 00:00:00,0.1606987804878049,164,0.87,0.13
2017-12-09 00:00:00,0.20404599999999998,50,0.94,0.06
2017-12-10 00:00:00,0.06723,40,0.95,0.05
2017-12-11 00:00:00,0.01385639534883721,172,0.79,0.21
2017-12-12 00:00:00,-0.061054961832061064,131,0.76,0.24
2017-12-13 00:00:00,-0.00652,160,0.72,0.28
2017-12-14 00:00:00,-0.029829531568228106,491,0.75,0.25
2017-12-15 00:00:00,0.027246643109540634,283,0.79,0.21
2017-12-16 00:00:00,0.011715873015873016,63,0.81,0.19
2017-12-17 00:00:00,0.12917012987012985,77,0.9,0.1
2017-12-18 00:00:00,0.12818785714285716,140,0.86,0.14
2017-12-19 00:00:00,0.04655490196078431,153,0.79,0.21
2017-12-20 00:00:00,0.16942015503875968,129,0.85,0.15
2017-12-21 00:00:00,0.1521891891891892,111,0.9,0.1
2017-12-22 00:00:00,0.12336422018348624,109,0.84,0.16
2017-12-23 00:00:00,0.11881428571428572,35,0.89,0.11
2017-12-24 00:00:00,0.07999583333333334,24,0.92,0.08
2017-12-25 00:00:00,0.224016,25,1.0,0.0
2017-12-26 00:00:00,-0.049712643678160924,87,0.79,0.21
2017-12-27 00:00:00,-0.0069336538461538455,104,0.74,0.26
2017-12-28 00:00:00,0.1336851598173516,438,0.81,0.19
2017-12-29 00:00:00,0.15786225490196076,204,0.87,0.13
2017-12-30 00:00:00,0.06965172413793103,58,0.9,0.1
2017-12-31 00:00:00,0.08732068965517242,29,0.93,0.07
2018-01-01 00:00:00,0.1685142857142857,35,0.94,0.06
2018-01-02 00:00:00,0.19811436672967864,529,0.87,0.13
2018-01-03 00:00:00,0.1955848780487805,410,0.85,0.15
2018-01-04 00:00:00,0.09321762295081967,244,0.78,0.22
2018-01-05 00:00:00,0.12874624277456648,346,0.84,0.16
2018-01-06 00:00:00,0.07475194805194804,77,0.87,0.13
2018-01-07 00:00:00,0.19359375,48,0.92,0.08
2018-01-08 00:00:00,0.1482238683127572,243,0.84,0.16
2018-01-09 00:00:00,0.1109536231884058,207,0.81,0.19
2018-01-10 00:00:00,0.10431825726141078,241,0.83,0.17
2018-01-11 00:00:00,0.15035140186915888,321,0.83,0.17
2018-01-12 00:00:00,0.17217272727272728,385,0.85,0.15
2018-01-13 00:00:00,0.111159793814433,97,0.91,0.09
2018-01-14 00:00:00,0.073725,60,0.88,0.12
2018-01-15 00:00:00,0.1474695652173913,92,0.9,0.1
2018-01-16 00:00:00,0.14283507246376811,345,0.83,0.17
2018-01-17 00:00:00,0.02671398416886543,379,0.76,0.24
2018-01-18 00:00:00,0.10762710843373494,332,0.8,0.2
2018-01-19 00:00:00,0.18465105263157894,380,0.84,0.16
2018-01-20 00:00:00,0.0861184,125,0.86,0.14
2018-01-21 00:00:00,0.13860283018867925,106,0.94,0.06
2018-01-22 00:00:00,0.07869417938931299,2096,0.8,0.2
2018-01-23 00:00:00,0.0690715763846622,1643,0.78,0.22
2018-01-24 00:00:00,0.019575609756097564,1025,0.73,0.27
2018-01-25 00:00:00,0.04426860377358491,1325,0.73,0.27
2018-01-26 00:00:00,0.034625032092426185,779,0.73,0.27
2018-01-27 00:00:00,0.0830614864864865,148,0.81,0.19
2018-01-28 00:00:00,0.13796120689655172,116,0.8,0.2
2018-01-29 00:00:00,0.2158578947368421,38,0.87,0.13
2018-01-30 00:00:00,-0.05303018480492813,974,0.64,0.36
2018-01-31 00:00:00,-0.084105,1080,0.64,0.36
2018-02-01 00:00:00,0.001088921282798834,686,0.7,0.3
2018-02-02 00:00:00,-0.04796307237813884,677,0.67,0.33
2018-02-03 00:00:00,0.05186194690265487,113,0.76,0.24
2018-02-04 00:00:00,0.12163522727272728,88,0.78,0.22
2018-02-05 00:00:00,-0.02413838174273859,482,0.71,0.29
2018-02-06 00:00:00,0.014140485829959516,494,0.73,0.27
2018-02-07 00:00:00,-0.011804835164835164,455,0.72,0.28
2018-02-08 00:00:00,-0.026363227513227512,378,0.71,0.29
2018-02-09 00:00:00,-0.03968391472868217,516,0.69,0.31
2018-02-10 00:00:00,0.059356164383561644,73,0.9,0.1
2018-02-11 00:00:00,0.10811494252873564,87,0.85,0.15
2018-02-12 00:00:00,0.11209186440677968,295,0.79,0.21
2018-02-13 00:00:00,0.1066416,250,0.82,0.18
2018-02-14 00:00:00,0.06824809843400448,447,0.8,0.2
2018-02-15 00:00:00,0.10786733870967742,496,0.8,0.2
2018-02-16 00:00:00,0.05126170798898072,363,0.74,0.26
2018-02-17 00:00:00,0.1566614285714286,70,0.89,0.11
2018-02-18 00:00:00,0.24912428571428571,70,0.96,0.04
2018-02-19 00:00:00,0.13626543209876543,81,0.94,0.06
2018-02-20 00:00:00,-0.009357682619647355,397,0.69,0.31
2018-02-21 00:00:00,0.035082995951417006,494,0.71,0.29
2018-02-22 00:00:00,-0.08538763796909492,453,0.64,0.36
2018-02-23 00:00:00,0.09991083743842365,406,0.76,0.24
2018-02-24 00:00:00,0.17496511627906977,86,0.88,0.12
2018-02-25 00:00:00,0.153172,75,0.87,0.13
2018-02-26 00:00:00,0.06865564356435644,505,0.76,0.24
2018-02-27 00:00:00,0.041124047619047616,420,0.77,0.23
2018-02-28 00:00:00,0.09673952879581153,382,0.79,0.21
2018-03-01 00:00:00,0.0260613595706619,559,0.7,0.3
2018-03-02 00:00:00,0.09520341064120054,733,0.78,0.22
2018-03-03 00:00:00,0.06949574468085105,235,0.79,0.21
2018-03-04 00:00:00,0.008526785714285714,112,0.73,0.27
2018-03-05 00:00:00,0.051011861614497535,1214,0.75,0.25
2018-03-06 00:00:00,0.01011993690851735,1585,0.7,0.3
2018-03-07 00:00:00,-0.03296549019607843,1275,0.66,0.34
2018-03-08 00:00:00,-0.03524536741214057,939,0.67,0.33
2018-03-09 00:00:00,0.03451805755395684,1390,0.73,0.27
2018-03-10 00:00:00,0.08254132653061225,196,0.77,0.23
2018-03-11 00:00:00,0.0890744966442953,149,0.79,0.21
2018-03-12 00:00:00,-0.07321939597315437,1490,0.64,0.36
2018-03-13 00:00:00,-0.04756958083832335,835,0.66,0.34
2018-03-14 00:00:00,-0.018506801909307875,838,0.68,0.32
2018-03-15 00:00:00,0.005297022767075306,571,0.73,0.27
2018-03-16 00:00:00,0.027367052023121386,519,0.73,0.27
2018-03-17 00:00:00,0.0655504854368932,103,0.85,0.15
2018-03-18 00:00:00,0.01821358024691358,81,0.88,0.12
2018-03-19 00:00:00,-0.09520331950207468,482,0.63,0.37
2018-03-20 00:00:00,-0.004797989949748744,398,0.7,0.3
2018-03-21 00:00:00,0.008438787878787879,330,0.76,0.24
2018-03-22 00:00:00,-0.04945375626043406,599,0.69,0.31
2018-03-23 00:00:00,-0.0716565371024735,566,0.66,0.34
2018-03-24 00:00:00,-0.06652346938775511,98,0.74,0.26
2018-03-25 00:00:00,0.0077237113402061856,97,0.8,0.2
2018-03-26 00:00:00,0.07148280141843971,564,0.77,0.23
2018-03-27 00:00:00,0.021620184899845917,649,0.72,0.28
2018-03-28 00:00:00,0.01609737827715356,801,0.72,0.28
2018-03-29 00:00:00,0.049327168367346935,784,0.73,0.27
2018-03-30 00:00:00,0.05604132231404958,121,0.84,0.16
2018-03-31 00:00:00,0.14454848484848484,99,0.88,0.12
2018-04-01 00:00:00,0.1566764705882353,85,0.93,0.07
2018-04-02 00:00:00,0.0015940186915887852,535,0.73,0.27
2018-04-03 00:00:00,0.05237444219066937,493,0.76,0.24
2018-04-04 00:00:00,0.10906614173228346,508,0.79,0.21
2018-04-05 00:00:00,0.1054,435,0.78,0.22
